Tilstandskode

Antal personer	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008
Total	5.801.277	5.775.188	5.741.655	5.699.958	5.654.401	5.619.260	5.596.882	5.575.097	5.553.663	5.530.627	5.506.684
 	.	.	.	.	.	.	.	.	.	.	.
7036 : Sygedagpenge, ej beskæftigelse	19.732	19.312	20.268	22.324	25.692	27.614	30.940	32.251	33.192	32.737	31.820
7045 : Barselsdagpenge, beskæftigelse	.	.	.	.	1	4	4	4	13	11	8
7046 : Barselsdagpenge, ej beskæftigelse	7.607	7.751	9.574	9.668	9.609	9.184	9.177	8.830	8.845	7.927	7.797
11030 : Ansættelse med løntilskud	10	15	9	.	.	.	.	.	.	.	.
11040 : Virksomhedspraktik	18.091	18.741	20.459	21.597	18.843	20.459	20.649	23.491	18.821	13.710	8.391
11049 : Nytteindsats	896	1.122	1.575	1.814	2.480	3	.	.	.	.	.
11520 : Ordinær uddannelse	.	.	.	.	.	.	.	.	3.903	2.561	5.835
11530 : Særligt tilrettelagte uddannelsesforløb	.	.	.	.	.	.	.	.	1.810	5.324	333
11550 : Korte vejlednings- og afklaringsforløb	.	.	.	.	.	.	.	.	10.063	3.700	135
11570 : Vejledning og introduktion	.	.	.	.	.	.	.	.	14	.	.
11591 : Vejledning og opkvalificering ordinær uddannelse	6.480	9.019	12.348	7.447	7.865	10.658	8.569	7.820	6.611	6.577	8.001
11592 : Vejledning og opkvalificering øvrige forløb under 4 uger	.	.	.	.	.	.	.	.	2.374	2.644	1.869
11593 : Vejledning og opkvalificering over 4 uger	.	.	.	.	.	.	.	.	34.425	34.598	27.871
11594 : Vejledning og opkvalificering øvrige forløb	16.159	18.950	20.703	30.257	28.587	30.895	31.787	40.900	.	.	.
11800 : Selvvalgt uddannelse i 6 uger	947	1.107	1.403	1.352	2.738	1.816	3.470	.	.	.	.
11900 : Selvvalgt uddannelse på uddannelsesydelse	.	.	.	.	.	.	2	2.781	3.239	.	.
12520 : Forsøg	.	.	.	.	.	.	.	.	33	83	38
13130 : Orlov til børnepasning	.	.	.	.	.	.	.	.	2	558	1.076
14010 : Revalidering, detaljer oplyst	742	843	973	769	818	825	1.110	1.420	1.850	2.204	2.489
14012 : Revalideringsydelse med virksomhedspraktik	.	.	1	300	416	506	500	482	857	1.215	1.387
14014 : Løntilskud ved revalidenters ansættelse med løntilskud	.	.	.	2	.	.	.	.	2	4	3
15020 : Ledige dagpengemodtaere	.	.	59.915	61.757	67.220	70.260	88.531	73.772	78.020	86.223	38.387
15025 :	64.202	66.739	.	.	.	.	.	.	.	.	.
15030 : G-dage	.	.	707	865	688	915	686	1.118	1.813	1.229	615
