SPEC6,SPEC6_TXT,SPEC4_TXT,SPEC3_TXT,SPEC6_FRA,SPEC6_TIL
287175,U-Svangersk. Reakt.3,Lab,Lab. Undersøgelser,1/1/2006,12/31/2006
287176,U-Protein          1,Lab,Lab. Undersøgelser,1/1/2006,12/31/2006
287177,B-Sedimentat.Reakt.2,Lab,Lab. Undersøgelser,1/1/2006,12/31/2006
287178,2,Lab,Lab. Undersøgelser,1/1/2006,12/31/2006
287179,U-Bakt.*dyrk Park* 3,Lab,Lab. Undersøgelser,1/1/2006,12/31/2006
287180,Urinprøvetag Steril4,Lab,Lab. Undersøgelser,1/1/2006,12/31/2006
287181,S-Carbamid         3,Lab,Lab. Undersøgelser,1/1/2006,12/31/2006
287182,U-Urobilin         3,Lab,Lab. Undersøgelser,1/1/2006,12/31/2006
287183,Lunger-Vitalkap.   3,Lab,Lab. Undersøgelser,1/1/2006,12/31/2006
287184,B-Differentialtæll.6,Lab,Lab. Undersøgelser,1/1/2006,12/31/2006
287185,B-Erytrocyt*volfrk.1,Lab,Lab. Undersøgelser,1/1/2006,12/31/2006
287186,B-Leukocyt. *park* 1,Lab,Lab. Undersøgelser,1/1/2006,12/31/2006
287187,S-Rheumat.Art.Test 3,Lab,Lab. Undersøgelser,1/1/2006,12/31/2006
287188,B-Trombocyt. *park*3,Lab,Lab. Undersøgelser,1/1/2006,12/31/2006
287189,U-Bakt.*dyrk Rest*12,Lab,Lab. Undersøgelser,1/1/2006,12/31/2006
287190,U-Hb-Glu-Me-Pr Stix1,Lab,Lab. Undersøgelser,1/1/2006,12/31/2006
288110,1.Undersøgelse,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288120,2.Undersøgelse,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288130,3.Undersøgelse,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288140,4.Undersøgelse,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288141,Særkons.Sv.Forebyge,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288142,4 Hj. Fødende 1.Uge,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288143,Besøg I 0-4 Km,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288144,Besøg II  4-8 Km,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288145,Besøg III  8-12 Km,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288146,Besøg IV  12-16 Km,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288147,Besøg V   16-20 Km,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288148,Besøg VI  Over 20 Km,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288149,Pr. Km Ud Over 21,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288150,Unders.V.Vejl.9 uger,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288151,Blodprøvetagning,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288152,Podning t. dyrkning,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288153,"B-glukose,fotometer",Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288154,"B-glukose, stix",Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288155,"Urinundersøg., stix",Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288156,I. Mirkosk. urin,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288157,II. Mikro. Bakt. ol.,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288158,III. Mikro. a. bio.,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288159,I. Bakterier,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288160,5. Hj. Fødende 9uger,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288161,II. Svampe,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288162,III. Andet,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288164,B-hæmoglobin (fotom),Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288165,I. Mikrosk. af urin,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288166,II. Mirko. bakt. ol.,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288167,III. Mirkos. a. bio.,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288170,1 modul,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288171,2 moduler,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288172,3 moduler,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288173,Pr. påbegyndt over 3,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288180,Blodpr.1.graviditets,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288181,Blodpr.2.graviditets,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288182,Indtil 4 km.,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288183,Fra 4 indtil 8 km.,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288184,Fra 8 indtil 12 km.,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288185,Fra 12 indtil 16 km.,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288186,Fra 16 indtil 20 km.,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288187,Udover 20 km.,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288188,Kr/km. udover 21 km.,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288189,Blodprøvetagning,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288190,Blodprøvetagning,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288191,Kørselsgodtgør. I,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
