Gyldig fra 	Gyldig til 	Kode 	Tekst
		00000 	Branche-oplysning mgl.
		10000 	Brancher uden indhold
		10001 	Landbrug
		11101 	Landbrug
		11102 	Gartnerier, frugtplant. og planteskoler
		11103 	Anlægsgartnerier
		11104 	Pelsdyravl
		11105 	Biavl
		11106 	Stutterier
		11107 	Kenneler
		11201 	Landbrugsmaskinstationer
		11202 	Drift af afvandingssyst. for landbrugsjord
		11209 	Servicevirksomhed for landbrug, gartneri o.l
		11300 	Jagt og vildtpleje
		12000 	Skovbrug
		13010 	Hav- og kystfiskeri
		13021 	Dambrug
		13029 	Diverse fiskerivirksomhed(herunder fiskeri-se
		21000 	Brunkulslejer
		22000 	Udvinding og efterforskn.af olie og naturgas
		23000 	Malmgravning
		29011 	Ler- og grusgrave samt stenbrud
		29012 	Stenfiskeri
		29013 	Kalk- og kridtbrud
		29020 	Udvinding af mineraler t.gødnings- og kemisk
		29030 	Saltudvinding
		29090 	Udvinding af ikke-metall.råstoffer, + brikett
		30000 	Fremstillingsvirksomhed uoplyst vareområde
		30001 	Fremstilling
		31111 	Svineslagterier
		31112 	Kødv.- og kødkonservesfabrikker
		31113 	Kreaturslagterier
		31114 	Offentlige slagtehuse
		31115 	Talgsmelterier
		31116 	Tarmrenserier
		31117 	Fjerkræslagterier
		31119 	Hjemmeslagtere samt røgning og saltning
		31121 	Mejerier
		31122 	Smelteostfabrikker
		31123 	Mælkekondenseringsfabr.
		31124 	Konsumisfabrikker
		31130 	Grønt- og frugtkonserves-fabr. samt æblemoste
		31141 	Røgning og saltn. af fisk
		31142 	Fiskehermetik-,fiskefars-og fiskefiletfabrikk
		31151 	Oliemøller
		31152 	Margarinefabrikker
		31153 	Fiskemelsfabrikker
		31154 	Destruktionsanstalter og kødfoderfabrikker
		31160 	Møller (fremstilling af mel, gryn og corn-fla
		31171 	Brødfabrikker
		31172 	Kiks- og vaffelfabrikker
		31173 	Kagefabrikker
		31174 	Bagerforretninger og konditorier
		31179 	Fremstilling af makaroni og spaghetti mv
		31180 	Sukkerfabrikker og -raffinaderier
		31190 	Chokolade- og sukkervarefabrikker
		31211 	Kartoffelmels- eller stivelsesfabrikker
		31219 	Fremstilling af næringsmidler i.a.n
		31220 	Fremstilling af færdige foderstoffer
		31310 	Sprit- og likørfabrikker
		31330 	Bryggerier og maltfabr.
		31340 	Mineralvandsfabrikker
		31400 	Tobaksfabrikker
		32111 	Uldspinderier og -væverier
		32112 	Bomuldsspinderier og -væverier
		32113 	Fremstilling af garner og stoffer af kemofibr
		32114 	Håndvæverier
		32115 	Fremstilling af bånd, possement samt elastik
		32116 	Andre spinderier og væverier
		32117 	Tekstilfarverier og imprægneringsfabrikker
		32121 	Fremstilling af broderier
		32122 	Plisse- og hulsømforretn.
