SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
1;"1";1;Beskæftigede;;;;;;
2;"1.1";2;Selvstændige;;;;;;
3;"110";3;Selvstændige (primær status ult. nov.);;;;;;
4;"111";3;Selvstændige (sekundær status ult. nov.);;;;;;
5;"1.2";2;Medarbejdende ægtefæller;;;;;;
6;"120";3;Medarbejdende ægtefæller;;;;;;
7;"121";3;Medarbejdende ægtefæller (sekundær status ult. nov.);;;;;;
8;"1.3";2;Lønmodtagere;;;;;;
9;"131";3;Lønmodtagere med ledelsesarbejde;;;;;;
10;"132";3;Lønmodtagere på højeste niveau;;;;;;
11;"133";3;Lønmodtagere på mellemniveau;;;;;;
12;"134";3;Lønmodtagere på grundniveau;;;;;;
13;"135";3;Andre lønmodtagere;;;;;;
14;"136";3;Lønmodtagere u.n.a.;;;;;;
15;"137";3;Lønmodtager ult. nov. ikke primære job;;;;;;
16;"138";3;Lønmodtager ej ult. nov.;;;;;;
17;"2";1;Arbejdsløse;;;;;;
18;"2.1";2;Arbejdsløse;;;;;;
19;"200";3;Arbejdsløse;;;;;;
20;"3";1;Personer uden for arbejdsstyrken;;;;;;
21;"3.1";2;Personer uden for arbejdsstyrken;;;;;;
22;"300";3;Uden for arbejdsstyrken;;;;;;
23;"311";3;Støttet beskæftigede uden løn;;;;;;
24;"312";3;Feriedagpenge;;;;;;
25;"313";3;Vejledning og opkvalificering;;;;;;
26;"314";3;Ledighedsydelse;;;;;;
27;"315";3;Børnepasningsorlov fra ledighed;;;;;;
28;"316";3;Barselsfravær fra ledighed;;;;;;
29;"317";3;Sygefravær fra ledighed;;;;;;
30;"318";3;Kontanthjælp (passiv);;;;;;
31;"319";3;Integrationsydelse;;;;;;
32;"320";3;Revalidering;;;;;;
33;"321";3;Ressouceforløb;;;;;;
34;"322";3;Jobafklaringsforløb;;;;;;
35;"351";3;Fleksløntilskud;;;;;;
36;"361";3;Støttet beskæftigelse (ej primær status);;;;;;
37;"411";3;Førtidspension;;;;;;
38;"412";3;Efterløn;;;;;;
39;"413";3;Fleksydelse;;;;;;
40;"414";3;Folkepension;;;;;;
41;"415";3;Anden pension;;;;;;
42;"416";3;Seniorpension;;;;;;
43;"417";3;Tidlig pension;;;;;;
44;"511";3;Personer under uddannelse (ordinær);;;;;;
45;"512";3;Børn og unge;;;;;;
46;"513";3;Øvrige uden for arbejdsstyrken;;;;;;
47;"514";3;Kursister;;;;;;
48;"515";3;Produktionsskoleelever;;;;;;
49;"516";3;Udenlandske studerende (ud fra opholdsgrundlag);;;;;;
50;"517";3;Modtagere af SU;;;;;;
51;"611";3;Barselsfravær fra beskæftigelse (ej primær status);;;;;;
52;"612";3;Sygefravær fra beskæftigelse (ej primær status);;;;;;
