code,title,level
0000,Afbrudt,3
0001,Ingen uddannelse ivu,3
0002,Ikke igang,3
0141,Formidl.-erhvervsspr. una - udvekslingstud. (kort vidg.),3
0144,Samfundsfaglig una - udvekslingstud. (kort vidg.),3
0145,Teknisk una - udvekslingstud. (kort vidg.),3
0146,Levnedsm./husholdn. una - udvekslingstud. (kort vidg.),3
0148,Transport mv.una - udvekslingstud. (kort vidg.),3
0150,Pædagogisk una - udvekslingstud. (ml.lang vidg.),3
0151,Formidl.-erhvervsspr. una- udvekslingstud. (ml.lang vidg.),3
0152,Kunstnerisk una - udvekslingstud. (ml.lang vidg.),3
0153,Naturvidenskabuna - udvekslingstud. (ml.lang vidg.),3
0154,Samfundsvidensk.una - udvekslingstud. (ml.lang vidg.),3
0155,Teknisk una - udvekslingstud. (ml.lang vidg.),3
0156,Levnedsm./ernæring una - udvekslingstud. (ml.lang vidg.),3
0159,Sundhed una - udvekslingstud. (ml.lang vidg.),3
0161,Humanistisk una - udvekslingstud. (bachelor),3
0162,Kunstnerisk una - udvekslingstud. (bachelor),3
0163,Naturvidenskab una - udvekslingstud. (bachelor),3
0164,Samfundsvidenskab una - udvekslingstud. (bachelor),3
0165,Teknisk una- udvekslingstud. (bachelor),3
0167,Jordbrugsvidenskab una - udvekslingstud. (bachelor),3
0170,Pædagogisk una - udvekslingstud.(lang vidg.),3
0171,Humanistisk-teologisk una - udvekslingstud. (lang vidg.),3
0172,Kunstnerisk una - udvekslingstud. (lang vidg.),3
0173,Naturvidenskab una- udvekslingstud. (lang vidg.),3
0174,Samfundsvidenskab una - udvekslingstud. (lang vidg.),3
0175,Teknisk una - udvekslingstud. (lang vidg.),3
0176,Levnedsm./ernæring una - udvekslingstud. (lang vidg.),3
0177,Jordbrugsvidenskab una - udvekslingstud. (lang vidg.),3
0179,Sundhed una - udvekslingstud. (lang vidg.),3
0200,1-6 år ivu,3
0205,7-8 år ivu,3
0210,9-10 år ivu,3
0215,"Studentereksamen mv., ivu",3
0220,"Pædagogik, ivu (amu)",3
0239,"Handel/kontor, ivu (amu)",3
0253,"Bygge/anlæg, ivu (amu)",3
0254,"Jern/metal, ivu (amu)",3
0255,"Grafisk, ivu (amu)",3
0258,"Teknik/industri i øvrigt, ivu (amu)",3
0260,"Service, ivu (amu)",3
0275,"Levnedsmiddel/husholdning, ivu (amu)",3
0280,"Jordbrug/fiskeri, ivu (amu)",3
0285,"Transport mv., ivu (amu)",3
0290,"Social/sundhed, ivu (amu)",3
0299,AMU una,3
0300,"Erhvervsfaglige uddannelse una, ivu",3
0320,"Pædagogik, ivu (eud)",3
0339,"Handel/kontor, ivu (eud)",3
0353,"Bygge/anlæg, ivu (eud)",3
0354,"Jern/metal, ivu (eud)",3
0355,"Grafisk, ivu (eud)",3
0358,"Teknik/industri i øvrigt, ivu (eud)",3
0360,"Service, ivu (eud)",3
0375,"Levnedsmiddel/husholdning, ivu (eud)",3
0380,"Jordbrug/fiskeri, ivu (eud)",3
0385,"Transport mv., ivu (eud)",3
0390,"Social/sundhed, ivu (eud)",3
0400,"Kort videregående uddannelse una, ivu (KVU)",3
0425,"Formidling/erhvervssprog, ivu (kvu)",3
0430,"Kunstnerisk, ivu (kvu)",3
0439,"Samfundsfaglig, ivu (kvu)",3
0459,"Teknisk, ivu (kvu)",3
0475,"Levnedsmiddel/husholdning, ivu (kvu)",3
0480,"Jordbrug/fiskeri, ivu (kvu)",3
0485,"Transport mv., ivu (kvu)",3
0490,"Social/sundhed, ivu (kvu)",3
0495,"Forsvar/politi, ivu (kvu)",3
0500,"Mellemlang videregående uddannelse una, ivu(MVU)",3
0520,"Pædagogik, ivu (mvu)",3
0525,"Formidling/erhvervssprog, ivu (mvu)",3
0530,"Kunstnerisk, ivu (mvu)",3
0539,Samfundsvidenskab ivu (mvu),3
0545,"Naturvidenskab, ivu (mvu)",3
0559,"Teknisk, ivu (mvu)",3
0575,"Levnedsmiddel/husholdning, ivu (mvu)",3
0580,"Jordbrug/fiskeri, ivu (mvu)",3
0585,"Transport mv., ivu (mvu)",3
0590,"Social/sundhed, ivu (mvu)",3
0595,"Forsvar, ivu (mvu)",3
0600,"Kandidat una, ivu (lvu)",3
0620,"Pædagogik, ivu (lvu)",3
0625,"Humanistisk/teologisk, ivu (lvu)",3
0630,"Kunstnerisk, ivu (lvu)",3
0639,"Samfundsvidenskab, ivu (lvu)",3
0645,"Naturvidenskab, ivu (lvu)",3
0659,"Teknisk, ivu (lvu)",3
0675,"Levnedsmiddel/husholdning, ivu (lvu)",3
0680,"Jordbrugsvidenskab, ivu (lvu)",3
0690,"Social/sundhed, ivu (lvu)",3
0695,"Forsvar, ivu (lvu)",3
0700,"Bachelor una, ivu (bachelor)",3
0702,"Humanistisk/teologisk, ivu (bachelor)",3
0703,"Kunstnerisk, ivu (bachelor)",3
0704,"Naturvidenskab, ivu (bachelor)",3
0705,"Samfundsvidenskab, ivu (bachelor)",3
0706,"Teknisk, ivu (bachelor)",3
0707,"Levnedsmiddel/ernærring, ivu (bachelor)",3
0708,"Jordbrugsvidenskab, ivu (bachelor)",3
0709,"Sundhed, ivu (bachelor)",3
0720,"Ph.d. una, ivu (ph.d.)",3
0721,"Pædagogisk, ivu (ph.d.)",3
0722,"Humanistisk/teologisk, ivu (ph.d.)",3
0723,"Kunstnerisk, ivu (ph.d.)",3
0724,"Naturvidenskab, ivu (ph.d.)",3
0725,"Samfundsvidenskab, ivu (ph.d.)",3
0726,"Teknisk, ivu (ph.d.)",3
0728,"Jordbrugsvidenskab, ivu (ph.d.)",3
0729,"Sundhed, ivu (ph.d.)",3
0800,Forfatteruddannelsen (privat udd.),3
0802,Musicalperformer (privat udd.),3
