Gyldig fra,Gyldig til,Kode,Tekst
,,0,Uoplyst
,,1000000,Uoplyst straffelov
,,1000100,"Opholdsforbud ved dom, registrering af"
,,1000200,"Opholdsforbud jf. straffeloven § 79 b, registrering af"
,,1000300,"Kontaktforbud jf. straffeloven § 79 b, registrering af"
,,1000400,"Opholds- og kontaktforbud jf. straffeloven § 79 b, registrering af"
,,1000500,"Tavshedspligt jf. straffeloven § 79 b, overtrædelse"
,,1110505,"Blodskam, børn under 15 år"
,,1110510,Blodskam i øvrigt
,,1110515,Samleje med plejebarn/stedbarn mv.
,,1110516,Samleje med plejebarn/stedbarn mv.
,,1110520,Anden kønslig omgang med plejebarn/stedbarn
,,1110521,Andet seksuelt forhold med plejebarn/stedbarn mv.
,,1110525,"Blodskam, anden kønslig omgang, børn under 15 år"
,,1110526,"Blodskam, andet seksuelt forhold (børn under 15 år)"
,,1110530,"Blodskam, anden kønslig omgang mellem søskende"
,,1110531,"Blodskam, andet seksuelt forhold mellem søskende"
,,1110535,"Blodskam i øvrigt, anden kønslig omgang"
,,1110536,"Blodskam i øvrigt, andet seksuelt forhold"
,,1110540,"Blodskam mellem søskende, børn under 15 år"
,,1110545,"Blodskam i øvrigt, mellem søskende"
,,1120504,Voldtægt
,,1120505,Voldtægt
,,1120506,Voldtægt ved anvendelse af vold eller trussel om vold
,,1120510,Samleje med ulovlig tvang
,,1120511,Voldtægt ved ulovlig tvang
,,1120515,Tilsnigelse til samleje
,,1120516,Tilsnigelse til samleje
,,1120519,Andet seksuelt forhold
,,1120520,Anden kønslig omgang ved vold
,,1120521,Andet seksuelt forhold ved vold eller trussel om vold
,,1120525,Anden kønslig omgang ved ulovlig tvang
,,1120526,Andet seksuelt forhold ved ulovlig tvang
,,1120530,Anden kønslig omgang ved tilsnigelse
,,1120531,Andet seksuelt forhold ved tilsnigelse
,,1130505,"Samleje med barn under 12 år, skærpende omstændigheder"
,,1130510,Anden kønslig omgang med barn under 12 år
,,1130515,Uagtsom seksualforbrydelse med barn under 12 år
,,1131505,Voldtægt ved samleje med barn under 12 år
,,1131510,Andet seksuelt forhold med barn under 12 år
,,1140505,Samleje ved udnyttelse af psykisk abnormitet
,,1140507,Samleje ved udnyttelse af hjælpeløs tilstand
,,1140510,Samleje med institutionsanbragt
,,1140515,Samleje ved misbrug af afhængigheds forhold
,,1140520,Samleje med barn under 15 år
,,1140525,Samleje ved forførelse
,,1140530,Anden kønslig omgang ved udnyttelse af psykisk abnormitet
,,1140535,Anden kønslig omgang med institutionsanbragt
,,1140540,Anden kønslig omgang ved misbrug af afhængighedsforhold
,,1140545,Anden kønslig omgang med barn under 15 år
,,1140550,Anden kønslig omgang ved forførelse
,,1140555,Uagtsom seksualforbrydelse med barn under 15 år
,,1140560,Uagtsom seksualforbrydelse i øvrigt
,,1140565,"Samleje med prostitueret under 18 år, kunde"
,,1141505,Samleje med barn under 15 år
,,1141510,Andet seksuelt forhold med barn under 15 år
,,1141515,Uagtsom seksualforbrydelse mod barn under 15 år
,,1145505,Samleje ved udnyttelse af psykisk abnormitet
,,1145510,Voldtægt ved udnyttelse af hjælpeløs tilstand
,,1145515,Andet seksuelt forhold ved udnyttelse af hjælpeløs tilstand
,,1145520,Samleje med institutionsanbragt/frihedsberøvet
,,1145525,Samleje ved misbrug af afhængighedsforhold
,,1145530,Samleje ved forførelse
,,1145535,Andet seksuelt forhold ved udnyttelse af psykisk abnormitet
,,1145540,Andet seksuelt forhold med institutionsanbragt/frihedsberøvet
,,1145545,Andet seksuelt forhold ved misbrug af afhængighedsforhold
,,1145550,Andet seksuelt forhold ved forførelse
,,1145555,Uagtsom seksualforbrydelse i øvrigt
,,1145560,Samleje med prostitueret under 18 år - kunde
,,1145565,Medvirken til prostitution (samleje) - person under 18 år
,,1145570,Medvirken til andet seksuelt forhold i forbindelse med prostitution af person under 18 år
,,1145575,Andet seksuelt forhold end samleje med prostitueret under 18 år - kunde
,,1150505,Homoseksuel sædelighedsforbrydelse mod barn under 12 år
,,1150510,Homoseksuel sædelighedsforbrydelse ved vold mod barn under 12 år
,,1150515,Homoseksuel sædelighedsforbrydelse ved ulovlig tvang mod barn under 12 år
,,1160505,Homoseksuel sædelighedsforbrydelse mod barn under 15 år
,,1160510,Homoseksuel sædelighedsforbrydelse i øvrigt
,,1160515,Homoseksuel sædelighedsforbrydelse ved vold
,,1160520,Homoseksuel sædelighedsforbrydelse ved ulovlig tvang
,,1160525,Homoseksuel sædelighedsforbrydelse ved vold mod barn under 15 år
,,1160530,Homoseksuel sædelighedsforbrydelse ved ulovlig tvang mod barn under 15 år
,,1172005,Blufærdighedskrænkelse ved beføling
,,1172010,Blufærdighedskrænkelse ved beføling
,,1174005,Blufærdighedskrænkelse ved blotteri
,,1174010,Blufærdighedskrænkelse ved blotteri
,,1176005,Blufærdighedskrænkelse ved beluring
,,1176010,Blufærdighedskrænkelse ved beluring
,,1176205,Blufærdighedskrænkelse (udgået 1986)
,,1176405,Blufærdighedskrænkelse ved verbal uterlighed o.l.
,,1176410,Blufærdighedskrænkelse ved verbal uanstændighed ol.
,,1176605,Blufærdighedskrænkelse ved anden uterlighed
,,1176610,Blufærdighedskrænkelse ved anden uanstændighed
