ydelsesnr,description_da,region,agreement
4101,Vaccination i.f.m. udbrud af smitsomme sygdomme,Sjælland,Vaccination med immunglobin (Vestsjællands Amt)
4102,Vaccination efter sygdomsbehandling/fjernelse af milt+knoglemarv,Sjælland,Vaccination med immunglobin (Vestsjællands Amt)
4103,Vaccination efter smitteudsættelse ved arbejdsuheld,Sjælland,Vaccination med immunglobin (Vestsjællands Amt)
4104,Vaccination af børn født af mødre med smitterisiko,Sjælland,Vaccination med immunglobin (Vestsjællands Amt)
4105,Hepatitis B-vaccine til mænd,Hovedstaden,Hepatitis B-vaccine
4118,Udlægning af analyser ved mistanke om kyssesyge,Midtjylland,Lab. analyser
4122,Test for svangerskabsdiabetes,Sjælland,Oral glukoseintolerancetest (Storstrøms Amt)
4163,Fødselshjælp eller abortbehandling,Sjælland,Ø-læger fødselshjælp
4164,Fødselshjælp overgår til sygehus,Sjælland,Ø-læger fødselshjælp
4179,Medgået tidsforbrug for kørsel pr. påbegyndt 10. minut udover 15 km,Sjælland,Ekstra honorering sygebesøg
4187,Sygebesøg ved egen læge — behandling af sikrede på aflastningsplads,Hovedstaden,Aflastningsplads
4188,Sygebesøg ved anden lokal læge — behandling af sikrede på aflastningsplads,Hovedstaden,Aflastningsplads
4192,Forsendelse,Syddanmark,Teledermatologi
4200,Oprydning i medicinkort,Sjælland,FMK implementering
4201,Lægens tidsforbrug til mødestedet,Hovedstaden,Multiple
4202,Lægens tidsforbrug til mødestedet,Hovedstaden,Multiple
4203,Lægens tidsforbrug til mødestedet,Hovedstaden,Multiple
4204,Lægens tidsforbrug til mødestedet,Hovedstaden,Multiple
4205,Lægens tidsforbrug til mødestedet,Hovedstaden,Multiple
4206,Lægens tidsforbrug til mødestedet,Hovedstaden,Multiple
4207,Lægens tidsforbrug til mødestedet,Hovedstaden,Multiple
4213,Forsøgsordning vedrørende opfølgende hjemmebesøg,Midtjylland,Opfølgende hjemmebesøg
4214,Forsøgsordning vedrørende opfølgende hjemmebesøg,Midtjylland,Opfølgende hjemmebesøg
4215,Forsøgsordning vedrørende opfølgende hjemmebesøg,Midtjylland,Opfølgende hjemmebesøg
4216,Forsøgsordning vedrørende opfølgende hjemmebesøg,Midtjylland,Opfølgende hjemmebesøg
4230,1. kontakt opfølgende hjemmebesøg,Sjælland,Opfølgende hjemmebesøg (FUI)
4231,2. kontakt – sygebesøg ind til 4 km,Sjælland,Opfølgende hjemmebesøg (FUI)
4232,2. kontakt – sygebesøg 5-8 km,Sjælland,Opfølgende hjemmebesøg (FUI)
4233,2. kontakt – sygebesøg 9-12 km,Sjælland,Opfølgende hjemmebesøg (FUI)
4234,2. kontakt – sygebesøg 13-16 km,Sjælland,Opfølgende hjemmebesøg (FUI)
4235,2. kontakt – sygebesøg 17-20 km,Sjælland,Opfølgende hjemmebesøg (FUI)
4236,2. kontakt – sygebesøg fra påbegyndt 21 km og over,Sjælland,Opfølgende hjemmebesøg (FUI)
4237,2. kontakt – konsultation,Sjælland,Opfølgende hjemmebesøg (FUI)
4238,3. kontakt – sygebesøg ind til 4 km,Sjælland,Opfølgende hjemmebesøg (FUI)
4239,3. kontakt – sygebesøg 5-8 km,Sjælland,Opfølgende hjemmebesøg (FUI)
4240,3. kontakt – sygebesøg 9-12 km,Sjælland,Opfølgende hjemmebesøg (FUI)
4241,3. kontakt – sygebesøg 13-16 km,Sjælland,Opfølgende hjemmebesøg (FUI)
4243,3. kontakt – sygebesøg 17-20 km,Sjælland,Opfølgende hjemmebesøg (FUI)
4244,3. kontakt – konsultation,Sjælland,Opfølgende hjemmebesøg (FUI)
4245,Gentaget kontakt inden for et år,Sjælland,Opfølgende hjemmebesøg (FUI)
4246,Foto og forsendelse,Sjælland,Teledermatologi
4250,Hjemmebesøg,Hovedstaden,Opfølgende hjemmebesøg
4251,Telefonkonsultation,Hovedstaden,Opfølgende hjemmebesøg
4252,Medicinlister,Hovedstaden,Opfølgende hjemmebesøg
4253,Kørselsgodtgørelse pr. kørt km,Hovedstaden,Opfølgende hjemmebesøg
4259,Telefonisk henvendelse til/fra kommunernes Social- og Sundhedsforvaltninger til/fra lægen,Sjælland,FUI Vordingborg/Roskilde
4260,Afstandstakst pr. påbegyndt km ud over 21 km,Sjælland,Opfølgende hjemmebesøg (FUI)
4261,Kørselsgodtgørelse ind til 20.000 km,Sjælland,Opfølgende hjemmebesøg (FUI)
4262,Kørselsgodtgørelse over 20.000 km,Sjælland,Opfølgende hjemmebesøg (FUI)
4263,Afstandstillæg ind til 4 km,Sjælland,Opfølgende hjemmebesøg (FUI)
4264,Afstandstillæg 4-8 km,Sjælland,Opfølgende hjemmebesøg (FUI)
4265,Afstandstillæg 8-12 km,Sjælland,Opfølgende hjemmebesøg (FUI)
4266,Afstandstillæg 12-16 km,Sjælland,Opfølgende hjemmebesøg (FUI)
4267,Afstandstillæg 16-20 km,Sjælland,Opfølgende hjemmebesøg (FUI)
4268,Afstandstillæg ud over 20 km,Sjælland,Opfølgende hjemmebesøg (FUI)
4280,Indkaldelse demensundersøgelse,Hovedstaden,Demensaftalen
4282,Kontrol demens (årlig),Hovedstaden,Demensaftalen
4283,Mail kommune,Hovedstaden,Demensaftalen
4284,Afregning af sygebesøg og møder,Hovedstaden,Multiple
4286,Årlig helbredsundersøgelse,Hovedstaden,Gentofte/Gladsaxe lokalaftale
4292,Sygebesøg/Konsultation forebyggelse,Hovedstaden,Indlæggelsesforebyggelse
4293,Tværsektoriel lægelig kommunikation,Hovedstaden,Indlæggelsesforebyggelse
4308,Urinundersøgelse stix,Midtjylland,Lab. analyser
4309,B-Hæmoglobin,Midtjylland,Lab. analyser
4310,Svælg-streptokokantigen,Midtjylland,Lab. analyser
4311,C-reaktiv protein,Midtjylland,Lab. analyser
4312,B-glukose fotometer,Midtjylland,Lab. analyser
4313,EKG inkl. præcordiale aflødninger,Midtjylland,Lab. analyser
4324,Sparring præhospitalet,Midtjylland,Præhospital
4378,Samtaleterapi,Sjælland,Shared Care
4379,Ekstra psykometriske test,Sjælland,Shared Care
4381,Deltagelse i Collabri kontrolgruppen,Sjælland,Shared Care
4383,Sygebesøg inkl. første 10 min.,Hovedstaden,Bornholm lokalaftale
