code,text_da,valid_from,valid_to
D,Klassifikation af sygdomme og helbredsrelaterede tilstande                                                                          SKS     1,20160101,25000101
DA00,Kolera                                                                                                                     001      SKS     1,20120101,25000101
DA000,Kolera forårsaget af Vibrio cholerae                                                                                    001001      SKS     3,20120101,25000101
DA001,Kolera forårsaget af Vibrio cholerae eltor                                                                              001001      SKS     3,20120101,25000101
DA009,Kolera UNS                                                                                                              001001      SKS     1,20120101,25000101
DA01,Tyfus og paratyfus                                                                                                         001      SKS     1,20120101,25000101
DA010,Tyfus                                                                                                                   001001      SKS     1,20120101,25000101
DA011,Paratyfus A                                                                                                             001001      SKS     1,20120101,25000101
DA012,Paratyfus B                                                                                                             001001      SKS     1,20120101,25000101
DA013,Paratyfus C                                                                                                             001001      SKS     1,20120101,25000101
DA014,Paratyfus UNS                                                                                                           001001      SKS     1,20120101,25000101
DA02,Andre salmonellainfektioner                                                                                                001      SKS     1,20120101,25000101
DA020,Salmonellaenterit                                                                                                       001001      SKS     1,20120101,25000101
DA021,Salmonellasepsis                                                                                                        001001      SKS     1,20120101,25000101
DA022,Lokaliseret salmonellainfektion                                                                                         001001      SKS     1,20120101,25000101
DA022A,Salmonella arthritis                                                                                                    001001      SKS     3,19940101,20111231
DA022B,"Salmonella infektion, renal tubulo-interstitiel                                                                         001001      SKS     3",19940101,20111231
DA022C,Salmonella meningitis                                                                                                   001001      SKS     3,19940101,20111231
DA022D,Salmonella osteomyelitis                                                                                                001001      SKS     3,19940101,20111231
DA022E,Salmonella pneumoni                                                                                                     001001      SKS     3,19940101,20111231
DA028,Anden salmonellainfektion                                                                                               001001      SKS     1,20120101,25000101
DA029,Salmonellainfektion UNS                                                                                                 001001      SKS     1,20120101,25000101
DA03,Bacillær dysenteri                                                                                                         001      SKS     1,20120101,25000101
DA030,Dysenteri forårsaget af Shigella dysenteriae                                                                            001001      SKS     3,20120101,25000101
DA031,Dysenteri forårsaget af Shigella flexneri                                                                               001001      SKS     3,20120101,25000101
DA032,Dysenteri forårsaget af Shigella boydii                                                                                 001001      SKS     3,20120101,25000101
DA033,Dysenteri forårsaget af Shigella sonnei                                                                                 001001      SKS     3,20120101,25000101
DA038,Anden bacillær dysenteri                                                                                                001001      SKS     1,20120101,25000101
DA039,Bacillær dysenteri UNS                                                                                                  001001      SKS     1,20120101,25000101
DA04,Andre bakterielle tarminfektioner                                                                                          001      SKS     1,20120101,25000101
DA040,Enteritis f.a. enteropatogen Escherichia coli-infektion                                                                 001001      SKS     3,20120101,25000101
DA041,Enteritis f.a. enterotoksisk Escherichia coli-infektion                                                                 001001      SKS     3,20120101,25000101
DA042,Enteritis f.a. enteroinvasiv Escherichia coli-infektion                                                                 001001      SKS     3,20120101,25000101
DA043,Enteritis f.a. enterohæmoragisk Escherichia coli-infektion                                                              001001      SKS     3,20120101,25000101
DA044,Anden tarminfektion med Escherichia coli                                                                                001001      SKS     3,20120101,25000101
DA045,Enteritis forårsaget af Campylobacter                                                                                   001001      SKS     3,20120101,25000101
DA046,Enteritis forårsaget af Yersinia enterocolitica                                                                         001001      SKS     3,20120101,25000101
DA047,Enterokolitis forårsaget af Clostridium difficile                                                                       001001      SKS     3,20120101,25000101
DA048,Anden bakteriel enteritis                                                                                               001001      SKS     1,20120101,25000101
DA049,Enteritis forårsaget af bakterier UNS                                                                                   001001      SKS     3,20120101,25000101
DA05,Andre bakterielle fødevareforgiftninger IKA                                                                                001      SKS     3,20120101,25000101
DA050,Fødevareforgiftning forårsaget af stafylokokker                                                                         001001      SKS     3,20120101,25000101
DA051,Botulisme                                                                                                               001001      SKS     1,20120101,25000101
DA052,Fødevareforgiftning forårsaget af Clostridium perfringens                                                               001001      SKS     3,20120101,25000101
DA053,Fødevareforgiftning forårsaget af Vibrio parahaemolyticus                                                               001001      SKS     3,20120101,25000101
DA054,Fødevareforgiftning forårsaget af Bacillus cereus                                                                       001001      SKS     3,20120101,25000101
DA058,Anden bakteriel fødevareforgiftning                                                                                     001001      SKS     1,20120101,25000101
DA059,Bakteriel fødevareforgiftning UNS                                                                                       001001      SKS     1,20120101,25000101
DA06,Amøbedysenteri                                                                                                             001      SKS     1,20120101,25000101
DA060,Akut amøbedysenteri                                                                                                     001001      SKS     1,20120101,25000101
DA061,Kronisk intestinal amøbeinfektion                                                                                       001001      SKS     1,20120101,25000101
DA062,Colitis forårsaget af amøbeinfektion                                                                                    001001      SKS     3,20120101,25000101
DA063,Amøbom i tarm                                                                                                           001001      SKS     1,20231001,25000101
DA063A,Amøbom UNS                                                                                                              001001      SKS     1,20120101,25000101
DA064,Leverabsces forårsaget af amøbeinfektion                                                                                001001      SKS     3,20120101,25000101
DA065,Lungeabsces forårsaget af amøbeinfektion                                                                                001001      SKS     3,20120101,25000101
DA066,Hjerneabsces forårsaget af amøbeinfektion                                                                               001001      SKS     3,20120101,25000101
DA067,Amøbeinfektion i huden                                                                                                  001001      SKS     1,20120101,25000101
DA068,Amøbeinfektion med anden lokalisation                                                                                   001001      SKS     3,20120101,25000101
DA068A,Appendicitis forårsaget af amøbeinfektion                                                                               001001      SKS     3,20120101,25000101
DA068B,Balanitis amoebica                                                                                                      001001      SKS     3,19940101,20111231
DA069,Amøbeinfektion UNS                                                                                                      001001      SKS     1,20120101,25000101
DA07,Andre tarmsygdomme fremkaldt af protozoer                                                                                  001      SKS     1,20120101,25000101
DA070,Balantidiasis                                                                                                           001001      SKS     1,20120101,25000101
DA071,Giardiasis                                                                                                              001001      SKS     1,20120101,25000101
DA071A,Lambliasis                                                                                                              001001      SKS     3,19940101,20111231
DA072,Cryptosporidiosis                                                                                                       001001      SKS     1,20120101,25000101
DA073,Isosporiasis                                                                                                            001001      SKS     1,20120101,25000101
DA073A,Coccidiosis intestinalis                                                                                                001001      SKS     3,20120101,20180331
DA078,Anden tarminfektion forårsaget af protozoer                                                                             001001      SKS     3,20120101,25000101
DA078A,Sarcocystose                                                                                                            001001      SKS     1,20120101,25000101
DA078B,Sarcosporidiose                                                                                                         001001      SKS     3,20120101,20180331
DA078C,Trichomoniasis intestinalis                                                                                             001001      SKS     1,20120101,25000101
DA078D,Coccidiosis intestinalis                                                                                                001001      SKS     1,20180401,25000101
DA079,Tarmsygdom forårsaget af protozoer UNS                                                                                  001001      SKS     3,20120101,25000101
DA08,Tarminfektioner forårsaget af virus og andre organismer                                                                    001      SKS     3,20120101,25000101
DA080,Enteritis forårsaget af rotavirus                                                                                       001001      SKS     3,20120101,25000101
DA081,Akut gastroenteritis forårsaget af Norwalk-virus                                                                        001001      SKS     3,20120101,25000101
DA082,Enteritis forårsaget af adenovirus                                                                                      001001      SKS     3,20120101,25000101
DA083,Enteritis forårsaget af anden virus                                                                                     001001      SKS     3,20120101,25000101
DA083A,Gastroenteritis forårsaget af parvovirus                                                                                001001      SKS     3,20120101,25000101
DA084,Tarminfektion forårsaget af virus UNS                                                                                   001001      SKS     3,20120101,25000101
DA085,Tarminfektion forårsaget af anden (mikro)organisme UNS                                                                  001001      SKS     3,20120101,25000101
DA09,An. gastroenteritis og colitis af infekt./ikke spec. årsag                                                                 001      SKS     3,20130101,25000101
DA090,An. og uspec gastroenteritis og colitis af infektiøs oprind.                                                            001001      SKS     1,20130101,25000101
DA099,Gastroenteritis eller colitis af ikke specificeret årsag                                                                001001      SKS     3,20120101,25000101
DA15,TB i ånde-org. verif. bakt. og hist.                                                                                       001      SKS     1,20120101,25000101
DA150,Lunge-TB verif. v. mikroskopi af ekspektorat m./u. dyrkning                                                             002001      SKS     3,20120101,25000101
DA150A,"Bronchiectasis tuberculosa, bakteriologisk verificeret                                                                  002001      SKS     3",19940101,20111231
DA150B,"Fibrosis pulmonis tuberculosa, bakteriologisk verificeret                                                               002001      SKS     3",19940101,20111231
DA150C,"Pneumonia tuberculosa, bakteriologisk verificeret                                                                       002001      SKS     3",19940101,20111231
DA150D,"Pneumothorax tuberculosa, bakteriologisk verificeret                                                                    002001      SKS     3",19940101,20111231
DA151,Lungetuberkulose verificeret alene ved dyrkning                                                                         002001      SKS     3,20120101,25000101
DA152,Lungetuberkulose verificeret histologisk                                                                                002001      SKS     1,20120101,25000101
