code,spec6_txt,spec4_txt,spec3_txt
000000,Uoplyst,Uoplyst,Uoplyst
010000,Anæsthesiologi,Anæsthesiologi,Anæsthesiologi
010100,Konsultation,Konsultation,Anæsthesiologi
010105,E-mail konsultation,Konsultation,Anæsthesiologi
010110,1.Kons. Smertetils.,Konsultation,Anæsthesiologi
010111,1.Kons.M/operat.M.V.,Konsultation,Anæsthesiologi
010112,Udvidet 1. kons. smertebehandling,Konsultation,Anæsthesiologi
010114,ukendt,Konsultation,Anæsthesiologi
010116,1.Kons. M. Operation,Konsultation,Anæsthesiologi
010120,2. Kons. Smertetils.,Konsultation,Anæsthesiologi
010130,Senere Kons. Smerte.,Konsultation,Anæsthesiologi
010161,tillæg for tolk,Konsultation,Anæsthesiologi
010200,Konsultation,Konsultation,Anæsthesiologi
010201,Tlf. Kons. Smerte.,Konsultation,Anæsthesiologi
010205,Tlf.rådg.prakt.læge,Konsultation,Anæsthesiologi
010210,1. Kons. Udv. Lungef,Konsultation,Anæsthesiologi
010220,2. Kons. udv. Lungef,Konsultation,Anæsthesiologi
010230,Senere Kons. Lungef.,Konsultation,Anæsthesiologi
010235,E-mail kons,Konsultation,Anæsthesiologi
010237,Tlf.rådg.prakt.læge,Konsultation,Anæsthesiologi
010300,Tlf. Konsultation,Tlf. Konsultation,Anæsthesiologi
010301,Tlf. Kons.,Tlf. Konsultation,Anæsthesiologi
011000,Besøg og Afst.tillæg,Besøg og Afst.tillæg,Besøg og Afst.tillæg
011100,Afstandstillæg,Afstandstillæg,Besøg og Afst.tillæg
011101,Afstandstillæg,Afstandstillæg,Besøg og Afst.tillæg
011400,Besøg,Besøg,Besøg og Afst.tillæg
011401,Besøg,Besøg,Besøg og Afst.tillæg
012000,Tillægsydelser,Tillægsydelser,Tillægsydelser
012146,Udlån app. blodtryk,Tillægsydelser,Tillægsydelser
012147,ICD-10 depp.test,Tillægsydelser,Tillægsydelser
012148,Hamiltons depp.test,Tillægsydelser,Tillægsydelser
012161,tolkebistand,Tillægsydelser,Tillægsydelser
012600,Blokader,Blokader,Tillægsydelser
012602,Psykometr.test.depp.,Blokader,Tillægsydelser
012603,Opf.demenssamt.tværf,Blokader,Tillægsydelser
012610,Blokader Gr. I,Blokader,Tillægsydelser
012611,Muskelblokader,Blokader,Tillægsydelser
