code6,specialty_num,specialty_name_da,ydelse_num,ydelse_text_da
010105,01,Anæsthesiologi,105,E-mail konsultation
010110,01,Anæsthesiologi,110,1.Kons. Smertetils.
010111,01,Anæsthesiologi,111,1.Kons.M/operat.M.V.
010112,01,Anæsthesiologi,112,Ingen tekst tilgængelig
010114,01,Anæsthesiologi,114,Ingen tekst tilgængelig
010116,01,Anæsthesiologi,116,1.Kons. M. Operation
010120,01,Anæsthesiologi,120,2. Kons. Smertetils.
010130,01,Anæsthesiologi,130,Senere Kons. Smerte.
010161,01,Anæsthesiologi,161,tillæg for tolk
010201,01,Anæsthesiologi,201,Tlf. Kons. Smerte.
010205,01,Anæsthesiologi,205,tlf. rådgivning
010210,01,Anæsthesiologi,210,1. Kons. Udv. Lungef
010220,01,Anæsthesiologi,220,2. Kons. udv. Lungef
010230,01,Anæsthesiologi,230,Senere Kons. Lungef.
010235,01,Anæsthesiologi,235,e-mail kons
010237,01,Anæsthesiologi,237,tlf.rådg.prakt.læge
010301,01,Anæsthesiologi,301,Tlf. Kons.
011101,01,Anæsthesiologi,1101,Afstandstillæg
011401,01,Anæsthesiologi,1401,Besøg
012002,01,Anæsthesiologi,2002,Ingen tekst tilgængelig
012103,01,Anæsthesiologi,2103,Ingen tekst tilgængelig
012104,01,Anæsthesiologi,2104,Ingen tekst tilgængelig
012111,01,Anæsthesiologi,2111,Ingen tekst tilgængelig
012113,01,Anæsthesiologi,2113,Ingen tekst tilgængelig
012114,01,Anæsthesiologi,2114,Ingen tekst tilgængelig
012119,01,Anæsthesiologi,2119,Ingen tekst tilgængelig
012161,01,Anæsthesiologi,2161,tolkebistand
012261,01,Anæsthesiologi,2261,Ingen tekst tilgængelig
012306,01,Anæsthesiologi,2306,Ingen tekst tilgængelig
012611,01,Anæsthesiologi,2611,Muskelblokader
012620,01,Anæsthesiologi,2620,Blokader Gr. II
012621,01,Anæsthesiologi,2621,Intraart. injektion.
012622,01,Anæsthesiologi,2622,Ledningsbl./nervebl.
012623,01,Anæsthesiologi,2623,Manipulationsbeh.
012624,01,Anæsthesiologi,2624,Akupunktur
012625,01,Anæsthesiologi,2625,Transcutan nervesti.
012626,01,Anæsthesiologi,2626,Ingen tekst tilgængelig
012631,01,Anæsthesiologi,2631,Sympaticusblo.(cer.)
012632,01,Anæsthesiologi,2632,Sympaticusblo.(lum.)
012633,01,Anæsthesiologi,2633,I.V. Reg. Sympat.Bl.
012634,01,Anæsthesiologi,2634,Perivertebral. blok.
012635,01,Anæsthesiologi,2635,Injekt. i epiduralr.
012636,01,Anæsthesiologi,2636,Neurolytiske blokad.
012637,01,Anæsthesiologi,2637,Ingen tekst tilgængelig
013010,01,Anæsthesiologi,3010,Udvid. Lungefunktpr.
013020,01,Anæsthesiologi,3020,Bistand til øjen/øre
013021,01,Anæsthesiologi,3021,Ingen tekst tilgængelig
013022,01,Anæsthesiologi,3022,Ingen tekst tilgængelig
013023,01,Anæsthesiologi,3023,Ingen tekst tilgængelig
013024,01,Anæsthesiologi,3024,Ingen tekst tilgængelig
013025,01,Anæsthesiologi,3025,Ingen tekst tilgængelig
013110,01,Anæsthesiologi,3110,Bedøvelse GrI *1*
013120,01,Anæsthesiologi,3120,Bedøvelse GrII *1*
013130,01,Anæsthesiologi,3130,Bedøvelse GrIII *1*
013140,01,Anæsthesiologi,3140,Bedøvelse GrIV *1*
013150,01,Anæsthesiologi,3150,Ingen tekst tilgængelig
013151,01,Anæsthesiologi,3151,Ingen tekst tilgængelig
013210,01,Anæsthesiologi,3210,Bedøvelse GrI *flg*
013220,01,Anæsthesiologi,3220,Bedøvelse GrII *flg*
013230,01,Anæsthesiologi,3230,Bedøvelse GrIII*flg*
013240,01,Anæsthesiologi,3240,Bedøvelse GrIV *flg*
015001,01,Anæsthesiologi,5001,læ anæ.ifm ørelægebi
015002,01,Anæsthesiologi,5002,Længvar. anæstesi A
015003,01,Anæsthesiologi,5003,Ingen tekst tilgængelig
015004,01,Anæsthesiologi,5004,Ingen tekst tilgængelig
015005,01,Anæsthesiologi,5005,læ anæ.ifm ørelægebi
015010,01,Anæsthesiologi,5010,Ingen tekst tilgængelig
015101,01,Anæsthesiologi,5101,Ingen tekst tilgængelig
015310,01,Anæsthesiologi,5310,Tolk ifm. kons. §3
015901,01,Anæsthesiologi,5901,1. op stritøre
015902,01,Anæsthesiologi,5902,Flg. op. stritøre
016401,01,Anæsthesiologi,6401,Anæst.bist. øjen/øre
016403,01,Anæsthesiologi,6403,anæstesi tons. følge
016666,01,Anæsthesiologi,6666,Ingen tekst tilgængelig
017152,01,Anæsthesiologi,7152,F-Blod 1
017155,01,Anæsthesiologi,7155,Pt-Ekg 3 Ext.Afl. 6
017175,01,Anæsthesiologi,7175,U-Svangersk. Reakt.3
019001,01,Anæsthesiologi,9001,Kørselsgodtgør. I
030105,03,Diagn. Radiologi Kbh,105,E-mail konsultation
030110,03,Diagn. Radiologi Kbh,110,Ingen tekst tilgængelig
030115,03,Diagn. Radiologi Kbh,115,Ingen tekst tilgængelig
030120,03,Diagn. Radiologi Kbh,120,Ingen tekst tilgængelig
030125,03,Diagn. Radiologi Kbh,125,Ingen tekst tilgængelig
