idx	id	description_da	specialty_en	auto_da_full
0	592	Pædiatri, 1. Kons.	Paediatrics	Pædiatri, 1. konsultation
1	594	Pædiatri, 1.kons (allergi)a35	Paediatrics	Pædiatri, 1 konsultation (allergi)a35
2	595	Pædiatri, 1.kons adfærd.forst.	Paediatrics	Pædiatri, 1 konsultation adfærd.forst.
3	596	Pædiatri, 2. Kons.	Paediatrics	Pædiatri, 2. konsultation
4	598	Pædiatri, 2.kons.(allergi)a35	Paediatrics	Pædiatri, 2 konsultation (allergi)a35
5	599	Pædiatri, Afstandstillæg	Paediatrics	Pædiatri, Afstandstillæg
6	603	Pædiatri, B-Differentialtæll.6	Paediatrics	Pædiatri, B-Differentialtæll.6
7	604	Pædiatri, B-Eosinophilcyt.   1	Paediatrics	Pædiatri, B-Eosinophilcyt.   1
8	607	Pædiatri, B-Hemoglobin       2	Paediatrics	Pædiatri, B-Hemoglobin       2
9	608	Pædiatri, B-Koagulation      3	Paediatrics	Pædiatri, B-Koagulation      3
10	610	Pædiatri, B-Sedimentat.Reakt.2	Paediatrics	Pædiatri, B-Sedimentat.Reakt.2
11	612	Pædiatri, Besøg	Paediatrics	Pædiatri, Besøg
12	617	Pædiatri, F-Orm  Ormled      1	Paediatrics	Pædiatri, F-Orm  Ormled      1
13	618	Pædiatri, F-Parasit  -®g     6	Paediatrics	Pædiatri, F-Parasit  -®g     6
14	619	Pædiatri, Hæmatologisk Us.Ii 6	Paediatrics	Pædiatri, Hæmatologisk undersøgelse Ii 6
15	620	Pædiatri, Ingen tekst tilgængelig	Paediatrics	Pædiatri, Ingen tekst tilgængelig
16	621	Pædiatri, Inhalat.beh. amt 15	Paediatrics	Pædiatri, Inhalat behandling amt 15
17	627	Pædiatri, Lunger-Vitalkap.   3	Paediatrics	Pædiatri, Lunger-Vitalkap.   3
18	628	Pædiatri, Peak exp.flow lunger	Paediatrics	Pædiatri, Peak exp.flow lunger
19	630	Pædiatri, S-Creatinium       5	Paediatrics	Pædiatri, S-Creatinium       5
20	631	Pædiatri, Senere Kons.	Paediatrics	Pædiatri, Senere konsultation
21	633	Pædiatri, Tlf. Kons.	Paediatrics	Pædiatri, telefon konsultation
22	637	Pædiatri, U-Glukose          1	Paediatrics	Pædiatri, U-Glukose          1
23	638	Pædiatri, U-Hb-Glu-Me-Pr Stix1	Paediatrics	Pædiatri, U-Hb-Glu-Me-Pr Stix1
24	639	Pædiatri, U-Hemoglobin       1	Paediatrics	Pædiatri, U-Hemoglobin       1
25	640	Pædiatri, U-Methylketon      1	Paediatrics	Pædiatri, U-Methylketon      1
26	641	Pædiatri, U-Mikroskopi       3	Paediatrics	Pædiatri, U-Mikroskopi       3
27	642	Pædiatri, U-Protein          1	Paediatrics	Pædiatri, U-Protein          1
28	644	Pædiatri, anstrengelsesprovokation løbebånd	Paediatrics	Pædiatri, anstrengelsesprovokation løbebånd
29	645	Pædiatri, bronkialprovokation	Paediatrics	Pædiatri, bronkialprovokation
30	646	Pædiatri, cutanprøver a35	Paediatrics	Pædiatri, cutanprøver a35
31	648	Pædiatri, fødevareprovokation	Paediatrics	Pædiatri, fødevareprovokation
32	649	Pædiatri, kostregistrering	Paediatrics	Pædiatri, kostregistrering
33	652	Pædiatri, peak expiratory flow lunger hjemme	Paediatrics	Pædiatri, peak expiratory flow lunger hjemme
34	653	Pædiatri, provokationsfors.a35	Paediatrics	Pædiatri, provokationsfors.a35
35	654	Pædiatri, reg. af hovedpine	Paediatrics	Pædiatri, regional af hovedpine
36	655	Pædiatri, reg. af mavesmerter og afføring	Paediatrics	Pædiatri, regional af mavesmerter og afføring
37	656	Pædiatri, reg. af symptomer astma	Paediatrics	Pædiatri, regional af symptomer astma
38	657	Pædiatri, reg. af symptomer astma og høfeber	Paediatrics	Pædiatri, regional af symptomer astma og høfeber
39	659	Pædiatri, senere kons.	Paediatrics	Pædiatri, senere konsultation
40	660	Pædiatri, senere kons._a35	Paediatrics	Pædiatri, senere konsultation _a35
41	661	Pædiatri, tillæg for tolk	Paediatrics	Pædiatri, tillæg for tolk
42	662	Pædiatri, tlf.kons. a35	Paediatrics	Pædiatri, telefon konsultation a35
43	663	Pædiatri, tolkebistand	Paediatrics	Pædiatri, tolkebistand
44	665	Pædiatri, udlevering af inhalationsdevice	Paediatrics	Pædiatri, udlevering af inhalationsdevice
