idx	id	description_da	specialty_en	auto_da_full
0	498	Ørelægehjælp, Tubulat. Trommehinde	ENT service	Ørelægehjælp, Tubulat. Trommehinde
1	499	Ørelægehjælp, Tubulation af kæbeh.	ENT service	Ørelægehjælp, Tubulation af kæbeh.
2	500	Ørelægehjælp, Udlev. og instrukt.	ENT service	Ørelægehjælp, Udlev. og instrukt.
3	502	Ørelægehjælp, Ultralydsus. bihuler	ENT service	Ørelægehjælp, Ultralydsus. bihuler
4	503	Ørelægehjælp, Und. af hør. v. t/s	ENT service	Ørelægehjælp, undersøgelse af hør. v. til/s
5	504	Ørelægehjælp, Und. af ligev. ved k	ENT service	Ørelægehjælp, undersøgelse af ligev. ved k
6	505	Ørelægehjælp, Unders. Spiserør Mv.	ENT service	Ørelægehjælp, Unders. Spiserør Mv.
7	506	Ørelægehjælp, Unds. af hyp&larynx	ENT service	Ørelægehjælp, Unds. af hyp&larynx
8	507	Ørelægehjælp, Us. hypoph. larynx	ENT service	Ørelægehjælp, undersøgelse hypoph. larynx
9	509	Ørelægehjælp, fj. fremmedlegeme	ENT service	Ørelægehjælp, fj. fremmedlegeme
10	511	Ørelægehjælp, tlf.rådg.prakt.læge	ENT service	Ørelægehjælp, telefon rådg prakt læge
11	515	Ørelægehjælp, ¯reprop/skaltilp. ¤3	ENT service	Ørelægehjælp, øreprop/skaltilp. ¤3
12	516	Patologi, Immunhistokemisk præ	Pathology	Patologi, Immunhistokemisk præ
13	519	Patologi, Vævsmikroskopi Cyto.	Pathology	Patologi, Vævsmikroskopi Cyto.
14	531	Plastikkirurgi, Flytn. Af Hud     1.	Plastic surgery	Plastikkirurgi, Flytn. af Hud     1.
15	532	Plastikkirurgi, Flytn. Af Hud   Flg.	Plastic surgery	Plastikkirurgi, Flytn. af Hud   følgende
16	533	Plastikkirurgi, Indsætt. Allopla. 1.	Plastic surgery	Plastikkirurgi, Indsætt. Allopla. 1.
17	535	Plastikkirurgi, Korr. Næse- ¯re. Flg	Plastic surgery	Plastikkirurgi, Korr. Næse- øre. følgende
18	536	Plastikkirurgi, Korr. Næse- øre.  1.	Plastic surgery	Plastikkirurgi, Korr. Næse- øre.  1.
19	539	Plastikkirurgi, Ope. Forhudsfor. Flg	Plastic surgery	Plastikkirurgi, operation Forhudsfor. følgende
20	540	Plastikkirurgi, Oper. Forhudsfors.1.	Plastic surgery	Plastikkirurgi, Oper. Forhudsfors.1.
21	541	Plastikkirurgi, Oper. Hudkræft    1.	Plastic surgery	Plastikkirurgi, Oper. Hudkræft    1.
