idx	id	description_da	specialty_en
0	3376	Almen lægehjælp 80, B-glukose, fotometer	General practitioner
1	1156	Københavns Praktiserende Lægers Laboratorium, Glucose,faste;S	Copenhagen GP Laboratory (KPLL)
2	3676	Almen lægehjælp 80, Tillæg kval. tolk	General practitioner
3	2256	Statens Seruminstitut, Toxoplasmose gondii	Statens Serum Institut
4	2444	Tandlægehjælp, Plastfyld Enfladet	Dental service
5	496	Ørelægehjælp, Toneaudiometri	ENT service
6	3381	Almen lægehjælp 80, B-hæmoglob.(fotom.)4	General practitioner
7	3195	Intern medicin, eccokardiografi	Internal medicine
8	3656	Almen lægehjælp 80, Svælg-strept.antig.4	General practitioner
9	2445	Tandlægehjælp, Plastfyld Flerfladet	Dental service
10	2836	Vederlagsfri fysioterapi, Normal behandling	Free-of-charge physiotherapy
11	2507	Fysioterapi 51, Normal behandling	Physiotherapy
12	3643	Almen lægehjælp 80, Sikr.u.adg.t.lægepr.	General practitioner
13	2847	Vederlagsfri fysioterapi, Tillæg særlig tidskr	Free-of-charge physiotherapy
14	3666	Almen lægehjælp 80, Telefonkonsultation	General practitioner
15	3420	Almen lægehjælp 80, Cholesterol	General practitioner
16	3418	Almen lægehjælp 80, C-Reaktivt Protein	General practitioner
17	1119	Københavns Praktiserende Lægers Laboratorium, Ferritin;P	Copenhagen GP Laboratory (KPLL)
18	487	Ørelægehjælp, Taleaudiometri	ENT service
19	2504	Fysioterapi 51, Manuel behandling	Physiotherapy
20	3467	Almen lægehjælp 80, Frs.bio.matr.eks.bl.	General practitioner
21	2414	Tandlægehjælp, Bitewings i.f.m RDU	Dental service
22	2835	Vederlagsfri fysioterapi, Neurofysioterapi	Free-of-charge physiotherapy
23	2753	Vederlagsfri fysioterapi, Apparaturbehandling	Free-of-charge physiotherapy
24	1352	Københavns Praktiserende Lægers Laboratorium, Neut.segmentk.;B	Copenhagen GP Laboratory (KPLL)
25	1104	Københavns Praktiserende Lægers Laboratorium, Ery Vol Varia;B	Copenhagen GP Laboratory (KPLL)
26	3330	Almen lægehjælp 80, 3.Undersøgelse	General practitioner
27	3783	Almen lægehjælp 80, vortebeh	General practitioner
28	2494	Fysioterapi 51, Information og vejl.	Physiotherapy
29	2452	Tandlægehjælp, Plastfyld Præmo 2 fl	Dental service
30	3491	Almen lægehjælp 80, I. Bakterier(dyrk.)3	General practitioner
31	849	Dermato-venerologi, Incision Cyste    1.	Dermato-venereology
32	3608	Almen lægehjælp 80, PP-inr (koagu.fakt.)	General practitioner
33	935	Københavns Praktiserende Lægers Laboratorium, ALAT;P	Copenhagen GP Laboratory (KPLL)
34	3952	Vagtlægehjælp 83, Telf.kons.uden besøg	On-call GP service 83
35	1041	Københavns Praktiserende Lægers Laboratorium, Cholesterol;P	Copenhagen GP Laboratory (KPLL)
