# id	da_full	en	confidence	residual
0	Almen lægehjælp 80	General practitioner	high	
1	Anæsthesiologi	Anaesthesiology	high	
2	Briller	Eyeglasses	high	
3	Børnepsykiatri	Child psychiatry	high	
4	Dermato-venerologi	Dermato-venereology	high	
5	Diagnost. radiologi	Diagnostic radiology	high	
6	Fodbehandling arvævspat.	Foot treatment, scar-tissue patients	high	
7	Fodbehandling, leddegigt	Foot treatment, Rheumatoid arthritis	high	
8	Fodterapi	Podiatry	high	
9	Fysioterapi 51	Physiotherapy	high	
10	Fysioterapi 61	Physiotherapy 61	high	
11	Gynækologi/obstetrik	Gynaecology/obstetrics	high	
12	Intern medicin	Internal medicine	high	
13	Kak vagtlægehjælp 82	KAK on-call GP 82	high	
14	Kak vagtlægehjælp 84	KAK on-call GP 84	high	
15	Kiropraktik kronikere	Chiropractic, chronic patients	high	
16	Kirurgi	Surgery	high	
17	Københavns Praktiserende Lægers Laboratorium	Copenhagen GP Laboratory (KPLL)	high	
18	Medicinsk Laboratorium	Medical Laboratory	high	
19	Neuromedicin	Neurology	high	
20	Omegnslaboratorier	Regional laboratories	high	
21	Ortonyxi	Orthonyxia	high	
22	Ortopædisk kirurgi	Orthopaedic surgery	high	
23	Plastikkirurgi	Plastic surgery	high	
24	Præhospital	Pre-hospital	high	
25	Psykiatri	Psychiatry	high	
26	Psykologhjælp	Psychology service	high	
27	Pædiatri	Paediatrics	high	
28	Reumatologi	Rheumatology	high	
29	Statens Seruminstitut	Statens Serum Institut	high	
30	Tandlægehjælp	Dental service	high	
31	Tolkebistand	Interpreter service	high	
32	Tropemedicin	Tropical medicine	high	
33	Vagtlægehjælp 83	On-call GP service 83	high	
34	Vederlagsfri fysioterapi	Free-of-charge physiotherapy	high	
35	Øjenlægehjælp	Ophthalmology service	high	
36	Ørelægehjælp	ENT service	high	
37	Ørelægevagt KAK	ENT on-call, KAK	high	
38	Anæsthesiologi, (procedure not documented)	Anaesthesiology, (procedure not documented)	low	
39	Anæsthesiologi, 1 konsultation med Operation	Anaesthesiology, 1 consultation with operation	high	
40	Anæsthesiologi, 1 konsultation Smertetils.	Anaesthesiology, 1 consultation smertetils.	low	Y
41	Anæsthesiologi, 1 konsultation med/operation med V	Anaesthesiology, 1 consultation with/operation with v	high	
42	Anæsthesiologi, 2. konsultation Smertetils.	Anaesthesiology, 2. consultation smertetils.	low	Y
43	Anæsthesiologi, Afstandstillæg	Anaesthesiology, Distance supplement	high	
44	Anæsthesiologi, Akupunktur	Anaesthesiology, Acupuncture	high	
45	Anæsthesiologi, Anæstæsi med intubation 30-60 min	Anaesthesiology, Anaesthesia with intubation 30-60 min	high	
46	Anæsthesiologi, Anæstæsi med intubation 61-120 min	Anaesthesiology, Anaesthesia with intubation 61-120 min	high	
47	Anæsthesiologi, Anæstæsi med intubation over 120 min	Anaesthesiology, Anaesthesia with intubation over 120 min	high	
48	Anæsthesiologi, Bedøvelse GrI    *1*	Anaesthesiology, Anaesthesia gri *1*	low	Y
49	Anæsthesiologi, Bedøvelse GrI  *flg*	Anaesthesiology, Anaesthesia gri *flg*	low	Y
50	Anæsthesiologi, Bedøvelse GrII   *1*	Anaesthesiology, Anaesthesia grii *1*	low	Y
51	Anæsthesiologi, Bedøvelse GrII *flg*	Anaesthesiology, Anaesthesia grii *flg*	low	Y
52	Anæsthesiologi, Bedøvelse GrIII  *1*	Anaesthesiology, Anaesthesia griii *1*	low	Y
53	Anæsthesiologi, Bedøvelse GrIII*flg*	Anaesthesiology, Anaesthesia griii*flg*	low	Y
54	Anæsthesiologi, Bedøvelse GrIV   *1*	Anaesthesiology, Anaesthesia griv *1*	low	Y
55	Anæsthesiologi, Bedøvelse GrIV *flg*	Anaesthesiology, Anaesthesia griv *flg*	low	Y
56	Anæsthesiologi, Besøg	Anaesthesiology, Visit	high	
57	Anæsthesiologi, Bistand til øjen/øre	Anaesthesiology, Bistand to eye/ear	high	
58	Anæsthesiologi, E-mail konsultation	Anaesthesiology, E-mail consultation	high	
59	Anæsthesiologi, E-mail konsultation	Anaesthesiology, E-mail consultation	high	
60	Anæsthesiologi, i V regional sympaticus blokade	Anaesthesiology, In v regional sympathetic block	high	
61	Anæsthesiologi, Injekt. i epiduralr.	Anaesthesiology, Injection. in epiduralr.	low	Y
62	Anæsthesiologi, Injektion i bursae	Anaesthesiology, Injection in bursae	high	
63	Anæsthesiologi, Intraart. injektion.	Anaesthesiology, Intraart. injection.	low	Y
64	Anæsthesiologi, Kortvarig anæstæsi med intubation	Anaesthesiology, Short-term anaesthesia with intubation	high	
65	Anæsthesiologi, Kortvarig anæstæsi med maske	Anaesthesiology, Short-term anaesthesia with mask	high	
66	Anæsthesiologi, Kørselsgodtgør.  i	Anaesthesiology, Mileage allowance. in	low	Y
67	Anæsthesiologi, Ledningsbl./nervebl.	Anaesthesiology, Ledningsbl./nervebl.	low	Y
68	Anæsthesiologi, Længvar. anæstesi A	Anaesthesiology, Long-lasting. anaesthesia a	high	
69	Anæsthesiologi, Manipulationsbeh.	Anaesthesiology, Manipulationsbeh.	low	Y
70	Anæsthesiologi, Muskelblokader	Anaesthesiology, Muskelblokader	high	
71	Anæsthesiologi, Neurolytiske blokad.	Anaesthesiology, Neurolytiske blokad.	low	Y
72	Anæsthesiologi, Paravertebal blokade	Anaesthesiology, Paravertebal block	high	
73	Anæsthesiologi, Perivertebral. blok.	Anaesthesiology, Perivertebral. blok.	low	Y
74	Anæsthesiologi, Pt-Ekg  3 Ext.Afl. 6	Anaesthesiology, Pt-ECG 3 ext.afl. 6	high	
75	Anæsthesiologi, Senere konsultation Smerte.	Anaesthesiology, Later consultation smerte.	low	Y
76	Anæsthesiologi, Sympaticusblo.(cer.)	Anaesthesiology, Sympaticusblo.(cer.)	low	Y
77	Anæsthesiologi, Sympaticusblo.(lum.)	Anaesthesiology, Sympaticusblo.(lum.)	low	Y
78	Anæsthesiologi, telefon konsultation Smerte.	Anaesthesiology, Telephone consultation smerte.	low	Y
79	Anæsthesiologi, telefon rådg prakt læge	Anaesthesiology, Telephone rådg prakt doctor	low	Y
80	Anæsthesiologi, Tolk ifm. konsultation  3	Anaesthesiology, Interpreter in connection with. consultation 3	low	Y
81	Anæsthesiologi, Transcutan nervesti.	Anaesthesiology, Transcutan nervesti.	low	Y
82	Anæsthesiologi, Triggerpunktblokade	Anaesthesiology, Triggerpunktblokade	high	
83	Anæsthesiologi, Udvid. Lungefunktpr.	Anaesthesiology, Udvid. lungefunktpr.	low	Y
84	Anæsthesiologi, Udvidet 1. konsultation smertebehandling	Anaesthesiology, Udvidet 1. consultation smertebehandling	high	
85	Anæsthesiologi, Ukendt	Anaesthesiology, Ukendt	high	
86	Anæsthesiologi, læ anæ.ifm ørelægebi	Anaesthesiology, Læ anæ.in connection with ørelægebi	low	Y
87	Anæsthesiologi, tillæg for tolk	Anaesthesiology, Supplement for interpreter	high	
88	Anæsthesiologi, tolkebistand	Anaesthesiology, Interpreter assistance	high	
89	Anæsthesiologi, ukendt	Anaesthesiology, Ukendt	high	
90	Klinisk kemi, 1. konsultation	Clinical chemistry, 1. consultation	high	
91	Klinisk kemi, 2. konsultation	Clinical chemistry, 2. consultation	high	
92	Klinisk kemi, Senere konsultation	Clinical chemistry, Later consultation	high	
93	Klinisk kemi, telefon konsultation	Clinical chemistry, Telephone consultation	high	
94	Ørelægevagt Kbh., Besøg	ENT on-call, Copenhagen, Visit	high	
95	Ørelægevagt KAK, 1. Konsultation	ENT on-call, KAK, 1. consultation	high	
96	Ørelægevagt KAK, Gennem-Sk. Trommeh.	ENT on-call, KAK, Gennem-sk. trommeh.	low	Y
97	Ørelægevagt KAK, Impedansaudiometri	ENT on-call, KAK, Impedansaudiometri	high	
98	Ørelægevagt KAK, Kaust. behandling Næsen	ENT on-call, KAK, Caustic. treatment the nose	low	Y
99	Ørelægevagt KAK, Paracentese	ENT on-call, KAK, Paracentese	high	
100	Ørelægevagt KAK, punktur af Kæbehule	ENT on-call, KAK, Puncture of maxillary sinus	high	
101	Ørelægevagt KAK, Senere Konsultation	ENT on-call, KAK, Later consultation	high	
102	Ørelægevagt KAK, Streptokokantigent.	ENT on-call, KAK, Streptokokantigent.	low	Y
103	Ørelægevagt KAK, undersøgelse af hør. v. til/s	ENT on-call, KAK, Examination of hearing. v. to/s	low	Y
104	Neurokirurgi, 1. konsultation	Neurosurgery, 1. consultation	high	
105	Neurokirurgi, 2. konsultation	Neurosurgery, 2. consultation	high	
106	Neurokirurgi, Senere konsultation	Neurosurgery, Later consultation	high	
107	Neurokirurgi, telefon konsultation	Neurosurgery, Telephone consultation	high	
108	Neuromedicin, (procedure not documented)	Neurology, (procedure not documented)	low	
109	Neuromedicin, 1. konsultation	Neurology, 1. consultation	high	
110	Neuromedicin, 1. Konsult. Pg.3 A20	Neurology, 1. konsult. pg.3 a20	low	Y
111	Neuromedicin, 2. konsultation	Neurology, 2. consultation	high	
112	Neuromedicin, Afstandstillæg	Neurology, Distance supplement	high	
113	Neuromedicin, Besøg	Neurology, Visit	high	
114	Neuromedicin, E-mail konsultation	Neurology, E-mail consultation	high	
115	Neuromedicin, Elektroenc. med/søvnk.	Neurology, Elektroenc. with/sleep recording.	low	Y
116	Neuromedicin, Elektroencephalog.	Neurology, Elektroencephalog.	low	Y
117	Neuromedicin, Email konsultation	Neurology, Email consultation	high	
118	Neuromedicin, Ingen tekst tilgængelig	Neurology, No text available	high	
119	Neuromedicin, Kørselsgodtgør.  i	Neurology, Mileage allowance. in	low	Y
120	Neuromedicin, Neurokir. 1 konsultation	Neurology, Neurokir. 1 consultation	low	Y
121	Neuromedicin, Neurokir. 2 konsultation	Neurology, Neurokir. 2 consultation	low	Y
122	Neuromedicin, Neurokir. 3 konsultation	Neurology, Neurokir. 3 consultation	low	Y
123	Neuromedicin, Neurokir. telefon konsultation	Neurology, Neurokir. telephone consultation	low	Y
124	Neuromedicin, Sen. konsultation  Pg.3 A20	Neurology, Sen. consultation pg.3 a20	low	Y
125	Neuromedicin, Senere konsultation	Neurology, Later consultation	high	
126	Neuromedicin, telefon konsultation	Neurology, Telephone consultation	high	
127	Neuromedicin, telefon rådg prakt læge	Neurology, Telephone rådg prakt doctor	low	Y
128	Neuromedicin, Tolk ifm. konsultation  3	Neurology, Interpreter in connection with. consultation 3	low	Y
129	Neuromedicin, tillæg for tolk	Neurology, Supplement for interpreter	high	
130	Neuromedicin, tolkebistand	Neurology, Interpreter assistance	high	
131	Øjenlægehjælp, (ingen tekst tilgængelig)	Ophthalmology service, (no text available)	high	
132	Øjenlægehjælp, (procedure not documented)	Ophthalmology service, (procedure not documented)	low	
133	Øjenlægehjælp, 1.Konsultation	Ophthalmology service, 1.consultation	high	
134	Øjenlægehjælp, 1.kon gråstær operation A35	Ophthalmology service, 1.kon cataract operation a35	high	
135	Øjenlægehjælp, 2002 frit.loft/B080	Ophthalmology service, 2002 frit.loft/b080	high	
136	Øjenlægehjælp, 3-aftale grå stær	Ophthalmology service, 3-aftale cataract	high	
137	Øjenlægehjælp, Afstandstillæg	Ophthalmology service, Distance supplement	high	
138	Øjenlægehjælp, Automat. Perimetri	Ophthalmology service, Automat. perimetri	low	Y
139	Øjenlægehjælp, behandling Efterst. YAG Fg	Ophthalmology service, Treatment efterst. yag fg	low	Y
140	Øjenlægehjælp, behandling Efterstær YAG 1	Ophthalmology service, Treatment after-cataract yag 1	high	
141	Øjenlægehjælp, behandling Grøn St. Yag Fg	Ophthalmology service, Treatment green st. yag fg	low	Y
142	Øjenlægehjælp, behandling Grøn Stær YAG 1	Ophthalmology service, Treatment glaucoma yag 1	high	
143	Øjenlægehjælp, behandling Grøn Stær YAG Fg	Ophthalmology service, Treatment glaucoma yag fg	low	Y
144	Øjenlægehjælp, behandling ef stær YAGlaser	Ophthalmology service, Treatment ef cataract YAG laser	high	
145	Øjenlægehjælp, Besøg	Ophthalmology service, Visit	high	
146	Øjenlægehjælp, Biopsi	Ophthalmology service, Biopsy	high	
147	Øjenlægehjælp, CCT screening, amt65	Ophthalmology service, Cct screening, amt65	low	Y
148	Øjenlægehjælp, diagnostisk Nethindeløsn.	Ophthalmology service, Diagnostic retinal detachment.	low	Y
149	Øjenlægehjælp, diagnostisk kontrol P Van	Ophthalmology service, Diagnostic follow-up p van	high	
150	Øjenlægehjælp, Email konsultation	Ophthalmology service, Email consultation	high	
151	Øjenlægehjælp, fjernelse Fremmedleg anæstesi	Ophthalmology service, Removal fremmedleg anaesthesia	high	
152	Øjenlægehjælp, fjernelse Fremmedlegeme	Ophthalmology service, Removal fremmedlegeme	high	
153	Øjenlægehjælp, fjernelse Pterygium	Ophthalmology service, Removal pterygium	high	
154	Øjenlægehjælp, fjernelse Pterygium  anæstesi	Ophthalmology service, Removal pterygium anaesthesia	high	
155	Øjenlægehjælp, fjernelse Pterygium anæstesi	Ophthalmology service, Removal pterygium anaesthesia	high	
156	Øjenlægehjælp, fjernelse Sut. Hornh anæstesi	Ophthalmology service, Removal sut. hornh anaesthesia	low	Y
157	Øjenlægehjælp, fjernelse Sutur. Hornh.	Ophthalmology service, Removal sutur. hornh.	low	Y
158	Øjenlægehjælp, fjernelse Tåresækken	Ophthalmology service, Removal the lacrimal sac	high	
159	Øjenlægehjælp, fjernelse Xanthelasm anæstesi	Ophthalmology service, Removal xanthelasm anaesthesia	high	
160	Øjenlægehjælp, fjernelse Xanthelasmata	Ophthalmology service, Removal xanthelasmata	high	
161	Øjenlægehjælp, Fjernelse af øje anæstesi	Ophthalmology service, Removal of eye anaesthesia	high	
162	Øjenlægehjælp, Fluangiografi	Ophthalmology service, Fluangiografi	high	
163	Øjenlægehjælp, Fotokoa. Kammerv.A20	Ophthalmology service, Fotokoa. kammerv.a20	low	Y
164	Øjenlægehjælp, Fotokoa.kammervin.Fg	Ophthalmology service, Fotokoa.kammervin.fg	high	
165	Øjenlægehjælp, Fotokoag. Kammervin.	Ophthalmology service, Fotokoag. kammervin.	low	Y
