description_da,n_rows,sample_value,specialty_code,specialty_name_en,spec4_txt,spec3_txt,plo_fuller,current_bad_en
Almen lægehjælp 80,1,80,,General practitioner,,,,General Medical Help 80
Anæsthesiologi,1,1,,Anaesthesiology,,,,Anesthesiology
Briller,1,52,,Eyeglasses,,,,Eyeglasses
Børnepsykiatri,1,26,,Child psychiatry,,,,Child Psychiatry
Dermato-venerologi,1,4,,Dermato-venereology,,,,Dermato-venereology
Diagnost. radiologi,1,5,,Diagnostic radiology,,,,Diagnostic radiology
Fodbehandling arvævspat.,1,59,,"Foot treatment, scar-tissue patients",,,,Foot treatment hereditary spastic paraplegia
"Fodbehandling, leddegigt",1,60,,Foot treatment,,,,"Foot treatment, leddegigt"
Fodterapi,1,54,,Podiatry,,,,Podiatry
Fysioterapi 51,1,51,,Physiotherapy,,,,Physiotherapy 51
Fysioterapi 61,1,61,,Physiotherapy 61,,,,Physical therapy 61
Gynækologi/obstetrik,1,7,,Gynaecology/obstetrics,,,,Obstetrics and Gynecology
Intern medicin,1,8,,Internal medicine,,,,Internal medicine
Kak vagtlægehjælp 82,1,82,,KAK on-call GP 82,,,,Home visit by general practitioner 82
Kak vagtlægehjælp 84,1,84,,KAK on-call GP 84,,,,Outpatient pediatric care 84
Kiropraktik kronikere,1,64,,"Chiropractic, chronic patients",,,,"Chiropractic, chronic patients"
Kirurgi,1,9,,Surgery,,,,Surgery
Københavns Praktiserende Lægers Laboratorium,1,44,,Copenhagen GP Laboratory (KPLL),,,,Copenhagen Practicing Doctors Laboratory
Medicinsk Laboratorium,1,45,,Medical Laboratory,,,,Medical Laboratory
Neuromedicin,1,18,,Neurology,,,,Neurology
Omegnslaboratorier,1,46,,Regional laboratories,,,,Regional laboratories
Ortonyxi,1,55,,Orthonyxia,,,,Orthonyxia
Ortopædisk kirurgi,1,20,,Orthopaedic surgery,,,,Orthopedic surgery
Plastikkirurgi,1,23,,Plastic surgery,,,,Plastic surgery
Præhospital,1,85,,Pre-hospital,,,,Pre-hospital
Psykiatri,1,24,,Psychiatry,,,,Psychiatry
Psykologhjælp,1,63,,Psychology service,,,,Psychological Help
Pædiatri,1,25,,Paediatrics,,,,Pediatrics
Reumatologi,1,6,,Rheumatology,,,,Rheumatology
Statens Seruminstitut,1,48,,Statens Serum Institut,,,,Statens Serum Institut
Tandlægehjælp,1,50,,Dental service,,,,Dental care assistance
Tolkebistand,1,96,,Interpreter service,,,,Interpreter service
Tropemedicin,1,28,,Tropical medicine,,,,Tropical medicine
Vagtlægehjælp 83,1,83,,On-call GP service 83,,,,Maternity care help 83
Vederlagsfri fysioterapi,1,62,,Free-of-charge physiotherapy,,,,Fee-free Physiotherapy
Øjenlægehjælp,1,19,,Ophthalmology service,,,,Eye medical assistance
Ørelægehjælp,1,21,,ENT service,,,,Ear medical assistance
Ørelægevagt KAK,1,16,,"ENT on-call, KAK",,,,Ear Doctor Guard KAK
"Anæsthesiologi, (procedure not documented)",12,12261,1,Anaesthesiology,,,,"Anesthesiology, (procedure not documented)"
"Anæsthesiologi, 1.Kons. M. Operation",1,10116,1,Anaesthesiology,,,,"Anesthesiology, First Consultation - Major Operation"
"Anæsthesiologi, 1.Kons. Smertetils.",1,10110,1,Anaesthesiology,,,,"Anesthesiology, 1st Consultation Pain Management"
"Anæsthesiologi, 1.Kons.M/operat.M.V.",1,10111,1,Anaesthesiology,,,,"Anesthesiology, 1.Consultation.M/Operative.M.V."
"Anæsthesiologi, 2. Kons. Smertetils.",1,10120,1,Anaesthesiology,,,,"Anesthesiology, 2nd Consultation Pain Management"
"Anæsthesiologi, Afstandstillæg",1,11101,1,Anaesthesiology,,,,"Anesthesiology, Remote Monitoring"
"Anæsthesiologi, Akupunktur",1,12624,1,Anaesthesiology,,,,"Anesthesiology, Acupuncture"
"Anæsthesiologi, Anæstæsi med intubation 30-60 min",1,13023,1,Anaesthesiology,,,,"Anesthesiology, General anesthesia with intubation 30-60 min"
