family,code,suffix,own_label_da,own_label_en,own_conf,best_cross_family,best_cross_code,best_cross_label_da,best_cross_label_en,cooc_support,cooc_share,cooc_lift,recommended_label_da,recommended_label_en,recommended_source,recommended_confidence,cross_all,source
branche,LAB_branche_77_1000,77_1000,,,,,,,,,,,,,none,none,{},empirical_industry_crosswalk
branche,LAB_branche_77_10001,77_10001,,,,,,,,,,,,,none,none,{},empirical_industry_crosswalk
branche,LAB_branche_77_11100,77_11100,,,,nace,12510,,,256,0.0469,51.279,,,none,none,"{""nace"": {""code"": ""12510"", ""n"": 256, ""share"": 0.0469, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_11101,77_11101,,,,nace,12110,,,192723,0.2155,37.524,,,none,none,"{""nace"": {""code"": ""12110"", ""n"": 192723, ""share"": 0.2155, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_11102,77_11102,,,,nace,11210,,,42315,0.7145,162.223,,,none,none,"{""nace"": {""code"": ""11210"", ""n"": 42315, ""share"": 0.7145, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_11103,77_11103,,,,nace,14120,,,10365,0.9289,549.33,,,none,none,"{""nace"": {""code"": ""14120"", ""n"": 10365, ""share"": 0.9289, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_11104,77_11104,,,,nace,12510,,,8413,0.7201,787.725,,,none,none,"{""nace"": {""code"": ""12510"", ""n"": 8413, ""share"": 0.7201, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_11105,77_11105,,,,nace,12520,,,597,0.5544,11765.922,,,none,none,"{""nace"": {""code"": ""12520"", ""n"": 597, ""share"": 0.5544, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_11106,77_11106,,,,nace,12210,,,1767,0.687,3842.075,,,none,none,"{""nace"": {""code"": ""12210"", ""n"": 1767, ""share"": 0.687, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_11107,77_11107,,,,nace,12530,,,410,0.6829,17533.012,,,none,none,"{""nace"": {""code"": ""12530"", ""n"": 410, ""share"": 0.6829, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_11201,77_11201,,,,nace,14110,,,11137,0.9102,588.576,,,none,none,"{""nace"": {""code"": ""14110"", ""n"": 11137, ""share"": 0.9102, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_11202,77_11202,,,,nace,14190,,,770,0.9286,6283.968,,,none,none,"{""nace"": {""code"": ""14190"", ""n"": 770, ""share"": 0.9286, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_11209,77_11209,,,,nace,14200,,,4398,0.8352,1241.33,,,none,none,"{""nace"": {""code"": ""14200"", ""n"": 4398, ""share"": 0.8352, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_11300,77_11300,,,,nace,15000,,,97,0.6186,60557.32,,,none,none,"{""nace"": {""code"": ""15000"", ""n"": 97, ""share"": 0.6186, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_12000,77_12000,,,,nace,20200,,,11262,0.1157,586.69,,,none,none,"{""nace"": {""code"": ""20200"", ""n"": 11262, ""share"": 0.1157, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_12002,77_12002,,,,,,,,,,,,,none,none,{},empirical_industry_crosswalk
branche,LAB_branche_77_13010,77_13010,,,,nace,50100,,,10988,0.8661,648.079,,,none,none,"{""nace"": {""code"": ""50100"", ""n"": 10988, ""share"": 0.8661, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_13021,77_13021,,,,nace,50200,,,2467,0.8723,2693.455,,,none,none,"{""nace"": {""code"": ""50200"", ""n"": 2467, ""share"": 0.8723, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_13029,77_13029,,,,,,,,,,,,,none,none,{},empirical_industry_crosswalk
branche,LAB_branche_77_21000,77_21000,,,,,,,,,,,,,none,none,{},empirical_industry_crosswalk
branche,LAB_branche_77_22000,77_22000,,,,nace,112000,,,2199,0.4188,3012.014,,,none,none,"{""nace"": {""code"": ""112000"", ""n"": 2199, ""share"": 0.4188, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_23000,77_23000,,,,nace,120000,,,8,0.875,713861.458,,,none,none,"{""nace"": {""code"": ""120000"", ""n"": 8, ""share"": 0.875, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_29011,77_29011,,,,nace,142100,,,2916,0.9479,1951.72,,,none,none,"{""nace"": {""code"": ""142100"", ""n"": 2916, ""share"": 0.9479, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_29012,77_29012,,,,nace,141120,,,93,0.8387,47371.452,,,none,none,"{""nace"": {""code"": ""141120"", ""n"": 93, ""share"": 0.8387, ""label_da"": """"}}",empirical_industry_crosswalk
